"id","resource","name","province","lat","lon","code"
"35517","http://it.dbpedia.org/resource/Forgaria_nel_Friuli","Forgaria nel Friuli","UD","46.2167","12.9667","D700"
"35518","http://it.dbpedia.org/resource/Forni_Avoltri","Forni Avoltri","UD","46.5833","12.7833","D718"
"35519","http://it.dbpedia.org/resource/Faule","Faule","CN","44.8","7.58333","D511"
"35520","http://it.dbpedia.org/resource/Feisoglio","Feisoglio","CN","44.55","8.1","D523"
"35522","http://it.dbpedia.org/resource/Forni_di_Sopra","Forni di Sopra","UD","46.4167","12.5833","D719"
"35523","http://it.dbpedia.org/resource/Forni_di_Sotto","Forni di Sotto","UD","46.4","12.6667","D720"
"35527","http://it.dbpedia.org/resource/Grimacco","Grimacco","UD","46.1501","13.5834","E179"
"35528","http://it.dbpedia.org/resource/Frabosa_Sottana","Frabosa Sottana","CN","44.3","7.8","D752"
"35529","http://it.dbpedia.org/resource/Divignano","Divignano","NO","45.6667","8.6","D309"
"35530","http://it.dbpedia.org/resource/Frassino_(Italia)","Frassino ","CN","44.5667","7.28333","D782"
"35531","http://it.dbpedia.org/resource/Frabosa_Soprana","Frabosa Soprana","CN","44.2872","7.80697","D751"
"35533","http://it.dbpedia.org/resource/Latisana","Latisana","UD","45.7833","13","E473"
"35534","http://it.dbpedia.org/resource/Dormelletto","Dormelletto","NO","45.7333","8.56667","D347"
"35536","http://it.dbpedia.org/resource/Fontaneto_d'Agogna","Fontaneto d'Agogna","NO","45.65","8.48333","D675"
"35537","http://it.dbpedia.org/resource/Lauco","Lauco","UD","46.4167","12.9333","E476"
"35538","http://it.dbpedia.org/resource/Gaiola","Gaiola","CN","44.3333","7.4","D856"
"35539","http://it.dbpedia.org/resource/Galliate","Galliate","NO","45.4833","8.7","D872"
"35541","http://it.dbpedia.org/resource/Lestizza","Lestizza","UD","45.95","13.1333","E553"
"35542","http://it.dbpedia.org/resource/Garbagna_Novarese","Garbagna Novarese","NO","45.4","8.66667","D911"
"35543","http://it.dbpedia.org/resource/Gargallo","Gargallo","NO","45.7333","8.43333","D921"
"35544","http://it.dbpedia.org/resource/Garessio","Garessio","CN","44.2","8.01667","D920"
"35545","http://it.dbpedia.org/resource/Genola","Genola","CN","44.5833","7.66667","D967"
"35546","http://it.dbpedia.org/resource/Gattico","Gattico","NO","45.7167","8.51667","D937"
"35547","http://it.dbpedia.org/resource/Santa_Elisabetta_(Italia)","Santa Elisabetta ","AG","37.4334","13.5501","I185"
"35548","http://it.dbpedia.org/resource/Ghemme","Ghemme","NO","45.6","8.41667","E001"
"35550","http://it.dbpedia.org/resource/Gozzano","Gozzano","NO","45.75","8.43333","E120"
"35551","http://it.dbpedia.org/resource/Gorzegno","Gorzegno","CN","44.5167","8.13333","E111"
"35552","http://it.dbpedia.org/resource/Gottasecca","Gottasecca","CN","44.4667","8.16667","E115"
"35553","http://it.dbpedia.org/resource/Granozzo_con_Monticello","Granozzo con Monticello","NO","45.3667","8.56667","E143"
"35554","http://it.dbpedia.org/resource/Ligosullo","Ligosullo","UD","46.5334","13.0667","E586"
"35555","http://it.dbpedia.org/resource/Grignasco","Grignasco","NO","45.6833","8.33333","E177"
"35556","http://it.dbpedia.org/resource/Santo_Stefano_Quisquina","Santo Stefano Quisquina","AG","37.6167","13.4834","I356"
"35557","http://it.dbpedia.org/resource/Govone","Govone","CN","44.8","8.1","E118"
"35561","http://it.dbpedia.org/resource/Lusevera","Lusevera","UD","46.2667","13.2667","E760"
"35562","http://it.dbpedia.org/resource/Sciacca","Sciacca","AG","37.5001","13.0834","I533"
"35563","http://it.dbpedia.org/resource/Landiona","Landiona","NO","45.5","8.41667","E436"
"35564","http://it.dbpedia.org/resource/Magnano_in_Riviera","Magnano in Riviera","UD","46.2333","13.1667","E820"
"35565","http://it.dbpedia.org/resource/Lesa","Lesa","NO","45.8333","8.56667","E544"
"35566","http://it.dbpedia.org/resource/Guarene","Guarene","CN","44.7333","8.03333","E251"
"35567","http://it.dbpedia.org/resource/Igliano","Igliano","CN","44.4436","8.00012","E282"
"35569","http://it.dbpedia.org/resource/Majano","Majano","UD","46.1833","13.0667","E833"
"35570","http://it.dbpedia.org/resource/Isasca","Isasca","CN","44.5833","7.38333","E327"
"35572","http://it.dbpedia.org/resource/Malborghetto-Valbruna","Malborghetto-Valbruna","UD","46.5","13.45","E847"
"35573","http://it.dbpedia.org/resource/La_Morra","La Morra","CN","44.6333","7.93333","E430"
"35576","http://it.dbpedia.org/resource/Manzano","Manzano","UD","45.9833","13.3833","E899"
"35577","http://it.dbpedia.org/resource/Lequio_Berria","Lequio Berria","CN","44.6","8.1","E540"
"35578","http://it.dbpedia.org/resource/Marano_Lagunare","Marano Lagunare","UD","45.7667","13.1667","E910"
"35579","http://it.dbpedia.org/resource/Lequio_Tanaro","Lequio Tanaro","CN","44.5667","7.88333","E539"
"35580","http://it.dbpedia.org/resource/Lesegno","Lesegno","CN","44.4","7.96672","E546"
"35581","http://it.dbpedia.org/resource/Martignacco","Martignacco","UD","46.1","13.1333","E982"
"35582","http://it.dbpedia.org/resource/Levice_(Italia)","Levice ","CN","44.5333","8.15","E564"
"35583","http://it.dbpedia.org/resource/Mereto_di_Tomba","Mereto di Tomba","UD","46.05","13.0333","F144"
"35584","http://it.dbpedia.org/resource/Lisio","Lisio","CN","44.3","7.98333","E615"
"35585","http://it.dbpedia.org/resource/Limone_Piemonte","Limone Piemonte","CN","44.2","7.56667","E597"
"35586","http://it.dbpedia.org/resource/Moggio_Udinese","Moggio Udinese","UD","46.4167","13.2","F266"
"35587","http://it.dbpedia.org/resource/Macra_(Italia)","Macra ","CN","44.4833","7.15","E789"
"35588","http://it.dbpedia.org/resource/Moimacco","Moimacco","UD","46.1","13.3833","F275"
"35589","http://it.dbpedia.org/resource/Montenars","Montenars","UD","46.25","13.1833","F574"
"35591","http://it.dbpedia.org/resource/Mortegliano","Mortegliano","UD","45.95","13.1667","F756"
"35592","http://it.dbpedia.org/resource/Moruzzo","Moruzzo","UD","46.1167","13.1167","F760"
"35593","http://it.dbpedia.org/resource/Magliano_Alpi","Magliano Alpi","CN","44.45","7.8","E808"
"35594","http://it.dbpedia.org/resource/Muzzana_del_Turgnano","Muzzana del Turgnano","UD","45.8167","13.1333","F832"
"35596","http://it.dbpedia.org/resource/Nimis","Nimis","UD","46.2","13.2667","F898"
"35597","http://it.dbpedia.org/resource/Marene","Marene","CN","44.6667","7.73333","E939"
"35598","http://it.dbpedia.org/resource/Manta_(Italia)","Manta ","CN","44.6167","7.48333","E894"
"35599","http://it.dbpedia.org/resource/Osoppo","Osoppo","UD","46.25","13.0833","G163"
"35600","http://it.dbpedia.org/resource/Ovaro","Ovaro","UD","46.4833","12.8667","G198"
"35601","http://it.dbpedia.org/resource/Marmora","Marmora","CN","44.4667","7.1","E963"
"35602","http://it.dbpedia.org/resource/Martiniana_Po","Martiniana Po","CN","44.6168","7.35016","E988"
"35603","http://it.dbpedia.org/resource/Marsaglia","Marsaglia","CN","44.45","7.96667","E973"
"35604","http://it.dbpedia.org/resource/Pagnacco","Pagnacco","UD","46.1167","13.1833","G238"
"35605","http://it.dbpedia.org/resource/Melle_(Italia)","Melle ","CN","44.5667","7.31667","F114"
